name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Peter Skaarup;Q12331726;http://commons.wikimedia.org/wiki/Special:FilePath/DF-Skaarup.jpg;FALSCH;;skaarup_peter;;WAHR
Henrik Dahl;Q12316339;http://commons.wikimedia.org/wiki/Special:FilePath/Henrik%20Dahl.jpg;FALSCH;;SociologenHD;;WAHR
Sofie Carsten Nielsen;Q12336294;http://commons.wikimedia.org/wiki/Special:FilePath/Sofie%20Carsten%20Nielsen%2C%20EU%20event%20med%20Europabev%C3%A6gelsen%2C%202011-09-08%20%28cropped%29.jpg;FALSCH;;sofiecn;;WAHR
Sophie Løhde;Q12336452;http://commons.wikimedia.org/wiki/Special:FilePath/Sophie%20L%C3%B8hde.jpg;FALSCH;;sophieloehde;;WAHR
Søren Egge Rasmussen;Q20179766;;FALSCH;;soreneggerasmus;;WAHR
Søren Pape Poulsen;Q12004862;http://commons.wikimedia.org/wiki/Special:FilePath/EPP%20Zagreb%20Congress%20in%20Croatia%2C%2020-21%20November%202019%20%2849099068013%29%20%28cropped%29.jpg;FALSCH;;sorenpape;;WAHR
Søren Søndergaard;Q747728;http://commons.wikimedia.org/wiki/Special:FilePath/Sorensondergaard.jpg;FALSCH;;SrenSndergaard3;;WAHR
Mette Frederiksen;Q5015;http://commons.wikimedia.org/wiki/Special:FilePath/Mette%20Frederiksen%20K%C3%B6%C3%B6penhaminassa%204.5.2022%20%2852049397038%29%20%28cropped%29.jpg;WAHR;;Statsmin;;WAHR?
Sten Knuth;Q19950211;http://commons.wikimedia.org/wiki/Special:FilePath/St%C3%A9n%20Knuth.jpg;FALSCH;;Sten_Knuth;;WAHR
Stinus Lindgreen;Q56480652;http://commons.wikimedia.org/wiki/Special:FilePath/Stinus%20Lindgreen.jpg;FALSCH;;stinuslindgreen;;WAHR
Susanne Zimmer;Q64418141;;FALSCH;;Susanne_Zimmer_;;WAHR
Thomas Danielsen;Q12343109;http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Danielsen%20%28V%29.JPG;FALSCH;;thdanielsen;;WAHR
Mette Thiesen;Q48922678;http://commons.wikimedia.org/wiki/Special:FilePath/Mette%20Thiesen%202020.png;FALSCH;;ThiesenMette;;WAHR
Torsten Gejl;Q20197707;http://commons.wikimedia.org/wiki/Special:FilePath/Torsten%20Gejl.png;FALSCH;;TorstenGejl;;WAHR
Torsten Schack Pedersen;Q7827256;;FALSCH;;Torstenschack;;WAHR
Trine Bramsen;Q12339763;http://commons.wikimedia.org/wiki/Special:FilePath/Trine%20Bramsen%20%28cropped%29.jpg;FALSCH;;Trinebramsen;;WAHR
Trine Torp;Q20177891;http://commons.wikimedia.org/wiki/Special:FilePath/Trine%20Torp%202020%20foto%20William%20Vest-Lilles%C3%B8e.jpg;FALSCH;;TrineTorp;;WAHR
Troels Lund Poulsen;Q3080572;http://commons.wikimedia.org/wiki/Special:FilePath/Troels%20Lund%20Poulsen%20Skamlingsbanken.jpg;FALSCH;;troelslundp;;WAHR
Uffe Elbæk;Q984181;http://commons.wikimedia.org/wiki/Special:FilePath/Uffe%20Elb%C3%A6k.jpg;FALSCH;;uffeelbaek;;WAHR
Ulla Tørnæs;Q3082669;http://commons.wikimedia.org/wiki/Special:FilePath/Ulla%20Toernaes.jpg;FALSCH;;Ulla_Tornaes;;WAHR
Victoria Velásquez;Q64417468;;FALSCH;;VictoriaV_EL;;WAHR
Zenia Stampe;Q12341748;http://commons.wikimedia.org/wiki/Special:FilePath/Stampe2007%20%28cropped%29.JPG;FALSCH;;zeniastampe;;WAHR
