name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Monika Oborná;Q28867057;;FALSCH;;ObornaMonika;;
Ladislav Oklestek;Q15208393;http://commons.wikimedia.org/wiki/Special:FilePath/Oklestek%20Ladislav.png;FALSCH;;OklestekLa;;
Olga Richterová;Q42311106;http://commons.wikimedia.org/wiki/Special:FilePath/Olga%20Richterov%C3%A1%203%20November%202021.jpg;FALSCH;;OlgaRichterova;;
Eliska Olsáková;Q107105777;http://commons.wikimedia.org/wiki/Special:FilePath/Eliska%20Olsakov%C3%A1%20profilova%20fotka.jpg;WAHR;https://pbs.twimg.com/profile_images/1480917618789953548/Tbgm22a3_normal.jpg;OlsakovaE;P?edsedkyn? Sdružení místních samospráv ?R, Poslankyn?;WAHR
Ondrej Babka;Q64096525;http://commons.wikimedia.org/wiki/Special:FilePath/Ond%C5%99ej%20Babka.jpg;FALSCH;;OndrejBabka;;
Ondrej Kolár;Q28767783;http://commons.wikimedia.org/wiki/Special:FilePath/Ond%C5%99ej%20Kol%C3%A1%C5%99%202019.jpg;FALSCH;;OndrejKolar6;;
Ondrej Lochman;Q95148584;;FALSCH;;ondrejlochman;;
Michaela Opltová;Q30279673;;WAHR;https://pbs.twimg.com/profile_images/1509881746409541635/nCHWNMkw_normal.jpg;OpltovaM;Poslankyn? Parlamentu ?eské republiky za @STANcz, ?lenka Výboru pro obranu a Hospodá?ského výboru, dobrovolná hasi?ka, starostka obce Kozolupy v @Plzenskykraj;WAHR
Petr Fiala;Q3377548;http://commons.wikimedia.org/wiki/Special:FilePath/Petr%20Fiala%20%2851940875566%29.jpg;FALSCH;;P_Fiala;;
Jana Pastuchová;Q15220272;;FALSCH;;pastuchovaANO;;
Patrik Nacher;Q18341589;http://commons.wikimedia.org/wiki/Special:FilePath/Praha%2C%20Nov%C3%A1%20Radnice%2C%20Patrik%20Nacher.jpg;FALSCH;;PatrikNacher;;
Pavel Belobrádek;Q1373840;http://commons.wikimedia.org/wiki/Special:FilePath/Belobradek%20%28cropped%29.jpg;FALSCH;;PavelBelobradek;;
Pavel Zácek;Q7155821;http://commons.wikimedia.org/wiki/Special:FilePath/Pavel%20%C5%BD%C3%A1%C4%8Dek%202017%20Praha.jpg;FALSCH;;PavelZacek_69;;
Pavla Golasowská;Q18915550;http://commons.wikimedia.org/wiki/Special:FilePath/2017%20Pavla%20Golasowska.jpg;FALSCH;;PavlaGolasowska;;
Pavla Pivonka Vanková;Q108872646;;FALSCH;;PavlaPivonka;;
Petr Letocha;Q100824625;;FALSCH;;petr_letocha;;
Petr Beitl;Q19602552;http://commons.wikimedia.org/wiki/Special:FilePath/%C3%9Cbergabe%20Baupl%C3%A4ne%20R%C3%BCdiger-Brunnen%20von%20OB%20Stefan%20Bosse%20%28Kaufbeuren%2C%20GER%29%20an%20Primator%20Petr%20Beitl%20%28Jablonec%2C%20CZE%29%2029102015%20%28Foto%20Hilarmont%29%20%284%29.jpg;FALSCH;;PetrBeitl;;
Petr Fifka;Q108854886;http://commons.wikimedia.org/wiki/Special:FilePath/Petr%20Fifka%2C%20poslanec%20ODS.jpg;WAHR;https://pbs.twimg.com/profile_images/1462704699107389440/vQ_HcyEn_normal.jpg;PetrFifka;Poslanec @ODScz ???? Místop?edseda Výboru pro evropské záležitosti ???? ?len Výboru pro zdravotnictví ?;WAHR
Petr Gazdík;Q2079976;http://commons.wikimedia.org/wiki/Special:FilePath/GLOBE%20Games%202022%20in%20Zbiroh%2032%20%28cropped%29.jpg;FALSCH;;petrgazdik;;
Petr Sadovský;Q43305486;;FALSCH;;PetrSadovskyp;;
Ivan Bartos;Q1292951;http://commons.wikimedia.org/wiki/Special:FilePath/Ivan%20Barto%C5%A1%2016%20December%202021.jpg;FALSCH;;pirativanbartos;;
Lucie Potucková;Q108872651;;FALSCH;;PotuckovaLucie;;
David Prazák;Q43370782;;FALSCH;;prazakzesemil;;
Robert Králícek;Q43124262;;FALSCH;;psprobertkrali1;;
Radek Rozvoral;Q44100328;;FALSCH;;RadekRozvoral;;
Radim Fiala;Q12048555;http://commons.wikimedia.org/wiki/Special:FilePath/Radim%20fiala%20politik.jpg;FALSCH;;RadimFialacz;;
Romana Belohlávková;Q108128858;http://commons.wikimedia.org/wiki/Special:FilePath/Romana%20B%C4%9Blohl%C3%A1vkov%C3%A1%2C%20Poslaneck%C3%A1%20sn%C4%9Bmovna%20Parlamentu%20%C4%8CR.jpg;FALSCH;;RBelohlavkova;;
Renáta Zajícková ;Q106870250;;FALSCH;;RenataZajickova;;
Richard Brabec;Q17049347;http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Brabec%2002.jpg;FALSCH;;RibraRichard;;
Robert Strzínek;Q42271675;http://commons.wikimedia.org/wiki/Special:FilePath/Bc.%20Robert%20Str%C5%BE%C3%ADnek.jpg;WAHR;https://pbs.twimg.com/profile_images/1471726914612174848/wx42zKBX_normal.jpg;robertstrzinek;Starosta m?sta Valašské Mezi?í?í;WAHR
Róbert Teleky;Q104123451;;WAHR;https://pbs.twimg.com/profile_images/1458490733049139210/vKnJratj_normal.jpg;RobertTeleky;Otec ?ty? d?tí, manžel, léka? ze Vsetína, vášnivý sportovec a poslanec Parlamentu ?R;WAHR
Roman Kubícek;Q15220317;http://commons.wikimedia.org/wiki/Special:FilePath/Kubicek2014.jpg;FALSCH;;Roman_Kubicek;;
Romana Fischerová;Q108872643;;FALSCH;;romana_fischer;;
Pavel Ruzicka;Q42972927;;WAHR;;ruzickapavel70;;WAHR
Lucie Safránková;Q44162988;;FALSCH;;safrankovaspd;;
Stanislav Berkovec;Q12055892;http://commons.wikimedia.org/wiki/Special:FilePath/Stanislav%20berkovec.jpg;WAHR;;sberkovec1;;WAHR
Michaela Sebelová;Q100832242;;WAHR;https://pbs.twimg.com/profile_images/1585964765234470912/-9L8xjWB_normal.jpg;SebelovaM;Poslankyn? Parlamentu ?R, místop?edsedkyn? @STANcz, ;WAHR
Karel Smetana;Q108872659;;FALSCH;;Smetana_Karel;;
Julius Spicák;Q23048742;;WAHR;https://pbs.twimg.com/profile_images/1473797210294915084/Mu_ajZE4_normal.jpg;spicakjulius;P?ednosta kliniky hepatogastroenterologie v IKEM, poslanec Parlamentu ?R za hnutí ANO;WAHR
Pavel Stanek;Q12044262;http://commons.wikimedia.org/wiki/Special:FilePath/Stan%C4%9Bk%20Pavel.jpg;FALSCH;;Stanek_Pavel;;
Stanislav Blaha;Q29951532;;FALSCH;;StanislavBlaha;;
Tomás Müller;Q104123386;;FALSCH;;StanMuller;;
Pavel Svoboda;Q944960;http://commons.wikimedia.org/wiki/Special:FilePath/Pavel%20Svoboda%20%28Organist%29.jpg;FALSCH;;SvobodaSPOLU;;
Tatána Malá;Q30067856;http://commons.wikimedia.org/wiki/Special:FilePath/Mala%20tatana.jpg;FALSCH;;TatanaMala;;
Antonín Tesarík;Q10854133;http://commons.wikimedia.org/wiki/Special:FilePath/Tesarik%20antonin.jpg;FALSCH;;tesarik_antonin;;
Tomás Dubský;Q108875738;;WAHR;https://pbs.twimg.com/profile_images/1498683059440394248/MpdhALGg_normal.jpg;TomasDubskySTAN;Starosta obce Vyso?ina | Poslanec Parlamentu ?eské republiky | Místop?edseda Zem?d?lského výboru | @STANcz;WAHR
Tomio Okamura;Q2223090;http://commons.wikimedia.org/wiki/Special:FilePath/Tomio%20Okamura%20in%202012.JPG;FALSCH;;tomio_cz;;
Vera Kovárová;Q15124323;http://commons.wikimedia.org/wiki/Special:FilePath/V%C4%9Bra%20Kov%C3%A1%C5%99ov%C3%A1%202017.jpg;FALSCH;;v_kovarova;;
Vít Rakusan;Q22035584;http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%ADt%20Raku%C5%A1an%20%282020%29.jpg;FALSCH;;Vit_Rakusan;;
Vladimír Balas;Q11903539;;WAHR;https://pbs.twimg.com/profile_images/1543899057281794048/D8BxE3v1_normal.jpg;VladimirBalas;Ministr školství, mládeže a t?lovýchovy;WAHR
Lukás Vlcek;Q23009091;;WAHR;https://pbs.twimg.com/profile_images/1598644374308618245/kO4ACTXL_normal.jpg;VlcekSTAN;1. místop?edseda hnutí @STANcz / poslanec @snemovna / p?edseda Stálé komise pro hybridní hrozby / ?len výboru pro životní prost?edí;WAHR
Vlastimil Válek;Q30114672;http://commons.wikimedia.org/wiki/Special:FilePath/Vlastimil-V%C3%A1lek2019b.jpg;FALSCH;;vlvalek;;
Radek Vondrácek;Q15124202;http://commons.wikimedia.org/wiki/Special:FilePath/Radek%20Vondr%C3%A1%C4%8Dek%20%28cropped%29.jpg;FALSCH;;vondraczech;;
Vít Kankovský;Q15124322;;FALSCH;;VtKAKOVSK1;;
Viktor Vojtko;Q95142503;;FALSCH;;vvojtko;;
Zdenek Kettner;Q108872649;;WAHR;https://pbs.twimg.com/profile_images/1492959393951932416/2g2htsr5_normal.jpg;z_kettner;Pedagog, toho ?asu poslanec.;WAHR
Zbynek Stanjura;Q10857406;http://commons.wikimedia.org/wiki/Special:FilePath/ZbynekStanjura.jpg;FALSCH;;Zbynek_Stanjura;;
Zdenka Nemecková Crkvenjas;Q54801007;;FALSCH;;ZCrkvenjas;;
Marek Zenísek;Q12035327;;FALSCH;;zenisek_m;;
