name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Patricia Lemoine;Q57394738;;FALSCH;;P_Lemoine;;WAHR
Philippe Guillemard;Q112894322;http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20guillemard%201510737.jpg;WAHR;https://pbs.twimg.com/profile_images/1579376817206607874/eWlgOufn_normal.jpg;P_Guillemard;Député @Renaissance de la 1ère circonscription de Meurthe-et-Moselle | Commissaire aux Affaires étrangères @AN_AfEtr | Commissaire aux Droits de l'Homme;WAHR
Philippe Brun;Q112649913;http://commons.wikimedia.org/wiki/Special:FilePath/LOUVIERS%20-%204e%20circo%20Eure%20-%20Philippe%20Brun%20nouveau%20d%C3%A9put%C3%A9%2022%20juin%202022%20%281%29%20%28cropped%29.jpg;FALSCH;;p_brun;;WAHR
Olivier Véran;Q3332699;http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20V%C3%A9ran%20-%20Juillet%202012.jpg;FALSCH;;olivierveran;;WAHR
Olivier Marleix;Q3351188;http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20Marleix.jpg;FALSCH;;oliviermarleix;;WAHR
Olivier Falorni;Q3351009;http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20Falorni%20%28cropped%29.jpg;FALSCH;;OlivierFalorni;;WAHR
Olivier Dussopt;Q2020823;http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20Dussopt.jpg;FALSCH;;olivierdussopt;;WAHR
Olivier Serva;Q30390327;http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20Serva.jpg;FALSCH;;olivier_serva;;WAHR
Olivia Grégoire;Q30349408;http://commons.wikimedia.org/wiki/Special:FilePath/Olivia%20Gr%C3%A9goire%204.jpg;FALSCH;;oliviagregoire;;WAHR
Olga Givernet;Q30334006;http://commons.wikimedia.org/wiki/Special:FilePath/Olga%20Givernet.jpg;FALSCH;;OlgaGivernet;;WAHR
Nicolas Thierry;Q63349080;http://commons.wikimedia.org/wiki/Special:FilePath/20210819%20thierry.n%206117.jpg;FALSCH;;nthierry;;WAHR
Natalia Pouzyreff;Q30343070;http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20Natalia%20wikip%C3%A9dia.jpg;FALSCH;;npouzyreff78;;WAHR
Nicolas Meizonnet;Q44508694;http://commons.wikimedia.org/wiki/Special:FilePath/Meizonnet.jpg;FALSCH;;NMeizonnet;;WAHR
Nicole Le Peih;Q30435836;http://commons.wikimedia.org/wiki/Special:FilePath/Nicole%20Le%20Peih.jpg;FALSCH;;NicoleLePeih;;WAHR
Nicole Dubré-Chirat;Q30389178;http://commons.wikimedia.org/wiki/Special:FilePath/Nicole%20Dubret%20Chiratte%2018951.jpg;FALSCH;;NicoleDubre17;;WAHR
Nicolas Sansu;Q2506441;;FALSCH;;NicolasSansu;;WAHR
Nicolas Ray;Q112638162;;FALSCH;;NicolasRay03;;WAHR
Nicolas Metzdorf;Q32557023;;FALSCH;;NicolasMetzdorf;;WAHR
Nicolas Dragon;Q112637819;;FALSCH;;NicolasDragon;;WAHR
Nicolas Pacquot;Q65595002;http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Pacquot.jpg;FALSCH;;Nicolas_Pacquot;;WAHR
Nathalie Da Conceicao Carvalho;Q112653583;;FALSCH;;NathCarvalho91;;WAHR
Nathalie Serre;Q96463563;;FALSCH;;NathalieSerre;;WAHR
Nathalie Oziol;Q112040646;;FALSCH;;NathalieOziol;;WAHR
Nathalie Bassire;Q30334540;http://commons.wikimedia.org/wiki/Special:FilePath/Nathalie%20Bassire.jpg;FALSCH;;NathalieBassire;;WAHR
Naïma Moutchou;Q30379800;;FALSCH;;NaimaMoutchou;;WAHR
Christophe Naegelen;Q30530164;http://commons.wikimedia.org/wiki/Special:FilePath/Christophe%20Naegelen%20salle%20quatre%20colonnes%2019002.jpg;FALSCH;;naegelenchris;;WAHR
Nadia Hai;Q30343155;http://commons.wikimedia.org/wiki/Special:FilePath/Nadia%20Hai.jpg;FALSCH;;NadiaHAI78;;WAHR
Nicolas Forissier;Q3340330;http://commons.wikimedia.org/wiki/Special:FilePath/Minister%20of%20State%20for%20Agriculture%2C%20Food%20Processing%2C%20Fisheries%20and%20Rural%20Affairs%20of%20France%2C%20Nicolas%20Forissier.jpg;FALSCH;;N_Forissier;;WAHR
Serge Muller;Q112641729;;FALSCH;;muller49_muller;;WAHR
Michèle Tabarot;Q2254052;http://commons.wikimedia.org/wiki/Special:FilePath/Mich%C3%A8le%20Tabarot.jpg;FALSCH;;MTabarot;;WAHR
Mounir Belhamiti;Q56464398;;FALSCH;;MounirBelhamiti;;WAHR
Pierre Morel-A-L'Huissier;Q1192864;http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Morel-A-L%27Huissier.jpg;FALSCH;;morelpierre;;WAHR
Monique Iborra;Q3320860;;FALSCH;;MoniqueIborra;;WAHR
Moetai Brotherson;Q30350575;http://commons.wikimedia.org/wiki/Special:FilePath/Moetai-Charles%20Brotherson.jpg;FALSCH;;Moetai1;;WAHR
Marine Le Pen;Q12927;http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9C%D0%B0%D1%80%D0%B8%D0%BD%20%D0%9B%D0%B5%20%D0%9F%D0%B5%D0%BD%20%2828-01-2022%29.jpg;FALSCH;;MLP_officiel;;WAHR
Patricia Mirallès;Q30497954;http://commons.wikimedia.org/wiki/Special:FilePath/Patricia%20Mirall%C3%A8s%20-%20Assembl%C3%A9e%20nationale.jpg;FALSCH;;MIRALLESMP;;WAHR
Mikaele Seo;Q112651641;;FALSCH;;MikaeleSeo;;WAHR
Paul Midy;Q111378729;;FALSCH;;midy_paul;;WAHR
Mickaël Cosson;Q65574870;;FALSCH;;MickaelCosson22;;WAHR
Mickaël Bouloux;Q65569133;;FALSCH;;MickaelBouloux;;WAHR
Michèle Martinez;Q112640893;http://commons.wikimedia.org/wiki/Special:FilePath/Mich%C3%A8le%20Martinez%20en%202022.jpg;FALSCH;;MichleMartinez3;;WAHR
Michel Herbillon;Q924976;http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Herbillon%20lors%20de%20la%20c%C3%A9r%C3%A9monie%20du%208%20mai%202010-003.JPG;FALSCH;;MichelHerbillon;;WAHR
Michel Guiniot;Q63106668;;FALSCH;;MichelGuiniot;;WAHR
Michèle Peyron;Q30384972;http://commons.wikimedia.org/wiki/Special:FilePath/Mich%C3%A8le%20Peyron.jpg;FALSCH;;MichelePeyron;;WAHR
Mathilde Hignet;Q112642303;;FALSCH;;MHignet;;WAHR
Marie Guévenoux;Q3292560;http://commons.wikimedia.org/wiki/Special:FilePath/Gu%C3%A9venoux%20-%20Evry%20-%202018-10-09%20-%20IMG%209319.jpg;FALSCH;;mguevenoux;;WAHR
Marc Fesneau;Q6755549;http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Fesneau%20%282015%29.jpg;FALSCH;;MFesneau;;WAHR
Meyer Habib;Q13426765;;FALSCH;;Meyer_Habib;;WAHR
Pierre Meurin;Q61769367;;FALSCH;;Meurin_P;;WAHR
Mélanie Thomin;Q112639913;;FALSCH;;Mel_Thomin;;WAHR
Mathilde Desjonquères;Q112899220;;WAHR;https://pbs.twimg.com/profile_images/1577810260932403200/CWfyFr5J_normal.jpg;MDesjonq;Députée de #loiretcher | Conseillère Municipale de #Blois Groupe Libre(s) | Conseillère Communautaire #Agglopolys | #parité #patrimoine #transitionécologique;WAHR
Marie-Charlotte Garin;Q112652262;;FALSCH;;MC_Garin;;WAHR
Manuel Bompard;Q29575749;http://commons.wikimedia.org/wiki/Special:FilePath/Manuel%20Bompard%2020181222.jpg;FALSCH;;mbompard;;WAHR
Max Mathiasin;Q30378055;http://commons.wikimedia.org/wiki/Special:FilePath/Max%20Mathiasin.jpg;FALSCH;;MaxMathiasin;;WAHR
Maxime Minot;Q30509432;http://commons.wikimedia.org/wiki/Special:FilePath/Maxime%20Minot.jpg;FALSCH;;MaximeMinot;;WAHR
Maxime Laisney;Q112652777;;FALSCH;;MaximeLaisneyFi;;WAHR
Kévin Mauvieux;Q112649848;;FALSCH;;MauvieuxKevin;;WAHR
Maud Petit;Q30511580;http://commons.wikimedia.org/wiki/Special:FilePath/Maud-Petit.jpg;FALSCH;;MaudPetit_AN94;;WAHR
Maud Gatel;Q71567030;;FALSCH;;maudgatel;;WAHR
Maud Bregeon;Q104032664;;FALSCH;;MaudBregeon;;WAHR
Matthias Tavel;Q50384786;;FALSCH;;MatthiasTavel;;WAHR
Mathilde Paris;Q63488174;;FALSCH;;MathildePARIS45;;WAHR
