name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Amira Mohamed Ali;Q41080910;http://commons.wikimedia.org/wiki/Special:FilePath/Amira%20Mohamed%20Ali%20Rheda.jpg;FALSCH;;Amira_M_Ali;;WAHR
Andreas Audretsch;Q108736132;;FALSCH;;AnAudretsch;;WAHR
Andrea Lindholz;Q15644594;http://commons.wikimedia.org/wiki/Special:FilePath/Lindholz%20Portrait.jpg;FALSCH;;AndreaLindholz;;WAHR
Andreas Rimkus;Q15783337;http://commons.wikimedia.org/wiki/Special:FilePath/Andreas%20Rimkus%20am%20Rhein.jpg;FALSCH;;Andreas_Rimkus;;WAHR
Andreas Bleck;Q40979188;;FALSCH;;andreasbleckmdb;;WAHR
Andreas Larem;Q106044682;http://commons.wikimedia.org/wiki/Special:FilePath/Andreas%20Larem%20%282021%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1551626073753919489/2H9bWssm_normal.jpg;andreaslarem;Mitglied des Bundestages ?? @spdbt ?? Für Darmstadt / Darmstadt-Dieburg  #wahlkreis186 #laremläuft;WAHR
Andreas Scheuer;Q500381;http://commons.wikimedia.org/wiki/Special:FilePath/Scheuer%2C%20Andreas-1407.jpg;FALSCH;;andreasscheuer;;WAHR
Andrej Hunko;Q99704;http://commons.wikimedia.org/wiki/Special:FilePath/Andrej%20Hunko%202947.jpg;FALSCH;;AndrejHunko;;WAHR
Anette Kramme;Q529526;http://commons.wikimedia.org/wiki/Special:FilePath/2016-08-29%20BSPC%20Anette%20Kramme%20by%20Olaf%20Kosinsky-6.jpg;FALSCH;;AnetteKramme;;WAHR
Anikó Glogowski-Merten;Q108757238;http://commons.wikimedia.org/wiki/Special:FilePath/Anik%C3%B3%20Glogowski-Merten%20Abgeordnete%20des%2020.%20Deutschen%20Bundestages%20FDP.jpg;FALSCH;;AnikoMerten;;WAHR
Anja Liebert;Q108757020;;WAHR;https://pbs.twimg.com/profile_images/1488112964255236099/HQdLIIT4_normal.jpg;anja_liebert;Grüne Ideen;WAHR
Anja Troff-Schaffarzyk;Q108760347;;FALSCH;;anja_troff;;WAHR
